Name,FQRegion,FQN,WOFId,CountryCode,HasRegion,Region,HasCity,City
ae/du/dubai-ar,,"Dubai, ae",85667983,ae,0,,1,Dubai
ae/du/dubai-en,,"Dubai, ae",85667983,ae,0,,1,Dubai
ar/c/city_of_buenos_aires,,"buenos aires, ar",85668015,ar,0,,1,buenos aires
ar/m/mendoza,,"Mendoza, ar",85668007,ar,0,,1,Mendoza
at/31254,,,,at,0,,0,
at/31255,,,,at,0,,0,
at/31256,,,,at,0,,0,
at/city_of_vienna,,"Vienna, at",85681667,at,0,,1,Vienna
at/tirol,"tirol, at","tirol, at",85681661,at,1,tirol,0,
au/act/statewide,"act, au","act, au",85681493,au,1,act,0,
au/countrywide,,,,au,0,,0,
au/nsw/statewide,"nsw, au","nsw, au",85681545,au,1,nsw,0,
au/qld/brisbane_city_council,"qld, au","brisbane city council, qld, au",101934019,au,1,qld,1,brisbane city council
au/qld/city_of_gold_coast,"qld, au","gold coast, qld, au",1125859661,au,1,qld,1,gold coast
au/qld/logan_city,"qld, au","logan city, qld, au",1125894307,au,1,qld,1,logan city
au/qld/statewide,"qld, au","qld, au",85681463,au,1,qld,0,
au/qld/sunshine_coast_council,"qld, au","sunshine coast council, qld, au",102049303,au,1,qld,1,sunshine coast council
au/qld/townsville_city_council,"qld, au","townsville city council, qld, au",101935509,au,1,qld,1,townsville city council
au/tas/launceston_city_council,"tas, au","launceston city council, tas, au",101938147,au,1,tas,1,launceston city council
au/tas/statewide,"tas, au","tas, au",85681583,au,1,tas,0,
au/vic/city_of_greater_geelong,"vic, au","greater geelong, vic, au",102049571,au,1,vic,1,greater geelong
au/vic/city_of_melbourne,"vic, au","melbourne, vic, au",101933229,au,1,vic,1,melbourne
au/vic/statewide,"vic, au","vic, au",85681497,au,1,vic,0,
be/bru/brussels-fr,"bru, be","Brussels, bru, be",102049957,be,1,bru,1,Brussels
be/bru/brussels-nl,"bru, be","Brussels, bru, be",102049957,be,1,bru,1,Brussels
be/flanders,"flanders, be","flanders, be",85632997,be,1,flanders,0,
be/wal/namur,"wal, be","Namur, wal, be",1125861569,be,1,wal,1,Namur
bm/territory_wide,,,,bm,0,,0,
br/ac/statewide,"ac, br","ac, br",85681873,br,1,ac,0,
br/al/statewide,"al, br","al, br",85681879,br,1,al,0,
br/am/statewide,"am, br","am, br",85681885,br,1,am,0,
br/ap/statewide,"ap, br","ap, br",85681891,br,1,ap,0,
br/ba/statewide,"ba, br","ba, br",85681895,br,1,ba,0,
br/ce/statewide,"ce, br","ce, br",85681907,br,1,ce,0,
br/df/statewide,"df, br","df, br",85681911,br,1,df,0,
br/es/statewide,"es, br","es, br",85681921,br,1,es,0,
br/es/vitoria,"es, br","Vitoria, es, br",101954595,br,1,es,1,Vitoria
br/go/statewide,"go, br","go, br",85681925,br,1,go,0,
br/ma/statewide,"ma, br","ma, br",85681931,br,1,ma,0,
br/mg/statewide,"mg, br","mg, br",85681941,br,1,mg,0,
br/ms/campo_grande,"ms, br","Campo Grande, ms, br",101961475,br,1,ms,1,Campo Grande
br/ms/statewide,"ms, br","ms, br",85681947,br,1,ms,0,
br/mt/statewide,"mt, br","mt, br",85681955,br,1,mt,0,
br/pa/statewide,"pa, br","pa, br",85681959,br,1,pa,0,
br/pb/statewide,"pb, br","pb, br",85681967,br,1,pb,0,
br/pe/recife,"pe, br","Recife, pe, br",101948669,br,1,pe,1,Recife
br/pe/statewide,"pe, br","pe, br",85681973,br,1,pe,0,
br/pi/statewide,"pi, br","pi, br",85681977,br,1,pi,0,
br/pr/statewide,"pr, br","pr, br",85681983,br,1,pr,0,
br/rj/rio_de_janeiro,"rj, br","Rio De Janeria, rj, br",101953261,br,1,rj,1,Rio De Janeria
br/rj/statewide,"rj, br","rj, br",85681991,br,1,rj,0,
br/rn/statewide,"rn, br","rn, br",85681999,br,1,rn,0,
br/ro/statewide,"ro, br","ro, br",85682003,br,1,ro,0,
br/rr/statewide,"rr, br","rr, br",85682011,br,1,rr,0,
br/rs/caxias_do_sul,"rs, br","Caxis Do Sul, rs, br",85682015,br,1,rs,1,Caxis Do Sul
br/rs/statewide,"rs, br","rs, br",85682015,br,1,rs,0,
br/sc/joinville,"sc, br","JoinVilla, sc, br",85682021,br,1,sc,1,JoinVilla
br/sc/statewide,"sc, br","sc, br",85682021,br,1,sc,0,
br/se/statewide,"se, br","se, br",85682037,br,1,se,0,
br/sp/guarulhos,"sp, br","Guarulhos, sp, br",101956159,br,1,sp,1,Guarulhos
br/sp/santos,"sp, br","Santos, sp, br",101965655,br,1,sp,1,Santos
br/sp/statewide,"sp, br","sp, br",85682041,br,1,sp,0,
br/to/statewide,"to, br","to, br",85682053,br,1,to,0,
by/brest/regionwide,"brest, by","brest, by",890422309,by,1,brest,0,
by/countrywide,,,,by,0,,0,
by/grodno/regionwide,"grodno, by","grodno, by",890428903,by,1,grodno,0,
by/mogilev/regionwide,"mogilev, by","mogilev, by",85669295,by,1,mogilev,0,
by/vitebsk/regionwide,"vitebsk, by","vitebsk, by",85669301,by,1,vitebsk,0,
ca/ab/airdrie,"ab, ca","Airdrie, ab, ca",890456719,ca,1,ab,1,Airdrie
ca/ab/calgary,"ab, ca","Calgary, ab, ca",890458845,ca,1,ab,1,Calgary
ca/ab/city_of_airdrie,"ab, ca","airdrie, ab, ca",890456719,ca,1,ab,1,airdrie
ca/ab/city_of_banff,"ab, ca","banff, ab, ca",890458667,ca,1,ab,1,banff
ca/ab/city_of_black_diamond,"ab, ca","black diamond, ab, ca",890456199,ca,1,ab,1,black diamond
ca/ab/city_of_canmore,"ab, ca","canmore, ab, ca",890457297,ca,1,ab,1,canmore
ca/ab/city_of_chestermere,"ab, ca","chestermere, ab, ca",1125988921,ca,1,ab,1,chestermere
ca/ab/city_of_cochrane,"ab, ca","cochrane, ab, ca",890458379,ca,1,ab,1,cochrane
ca/ab/city_of_edmonton,"ab, ca","edmonton, ab, ca",890458485,ca,1,ab,1,edmonton
ca/ab/city_of_lethbridge,"ab, ca","lethbridge, ab, ca",890458847,ca,1,ab,1,lethbridge
ca/ab/city_of_medicine_hat,"ab, ca","medicine hat, ab, ca",890456255,ca,1,ab,1,medicine hat
ca/ab/city_of_red_deer,"ab, ca","red deer, ab, ca",890457071,ca,1,ab,1,red deer
